User_ID,Age,Gender,City,Occupation,Income_Lakhs,Digital_Usage_Score,Cricket_Skill,Bought_Saree,Bought_Cookware,Bought_AirFryer,Bought_Premium_Pen,Annual_Spend_Estimate,Switch_Intent
1,53,Other,Bengaluru,Homemaker,7.531740052146411,6,5,0,1,0,0,12408.597767306781,1
2,43,Male,Pune,IT Professional,18.604514797096897,10,3,0,0,0,1,23612.481760345065,1
3,29,Male,Mumbai,IT Professional,3.4652961136871583,4,4,0,0,1,1,6677.599856757881,1
4,57,Other,Bengaluru,Student,12.216525515646813,6,4,0,0,1,0,14428.27657453123,1
5,22,Male,Pune,Business Owner,20.069031434461312,6,1,0,0,0,0,20990.288222599353,1
6,35,Male,Mumbai,Business Owner,10.452125027037491,4,3,0,0,0,0,10715.56356343757,0
7,53,Male,Delhi,IT Professional,15.402216231798787,6,4,0,0,1,1,15336.190897283328,1
8,33,Female,Delhi,Student,7.5095431221700375,10,5,0,0,1,0,9982.274983166899,1
9,37,Female,Nagpur,Homemaker,19.323898604775792,8,5,1,1,0,0,20375.31249375873,1
10,25,Female,Bengaluru,Homemaker,4.150140271912711,3,2,0,1,0,0,5000.0,0
11,25,Male,Delhi,IT Professional,21.75593818726101,4,2,0,0,0,1,21571.381859198642,1
12,38,Female,Bengaluru,Business Owner,7.360320501276699,10,5,0,0,0,0,13148.506711333139,1
13,50,Female,Delhi,Student,22.236756697583278,1,5,1,0,0,0,23446.479986893275,0
14,54,Male,Nagpur,Business Owner,10.755643308611381,4,2,0,0,0,0,13541.651722327751,0
15,38,Female,Pune,Homemaker,18.899038638438704,10,4,1,1,0,0,26249.029362941863,1
16,17,Female,Nagpur,Business Owner,10.022956551296147,10,1,1,0,1,0,14866.280768543917,1
17,36,Male,Mumbai,Homemaker,22.930056767162245,9,2,0,1,0,0,25868.42757299642,1
18,16,Male,Delhi,Student,5.786016761404236,8,4,0,0,0,0,14208.823913264641,1
19,38,Male,Mumbai,Student,6.927435363997171,4,4,0,0,0,0,10738.727170604763,0
20,58,Male,Mumbai,IT Professional,13.84666275349365,7,4,0,0,0,1,17651.302339902762,1
21,44,Male,Bengaluru,IT Professional,4.802645658839214,10,3,0,0,0,1,9968.394566823876,1
22,52,Male,Delhi,Business Owner,7.311564063438762,3,3,0,0,0,0,9390.871105239365,0
23,16,Female,Mumbai,Student,23.762860408664316,9,4,1,0,1,0,27858.65784795588,1
24,35,Other,Pune,Student,24.482772545253518,10,5,0,0,0,0,29739.221628261163,1
25,47,Female,Mumbai,IT Professional,11.277705245269283,4,3,1,0,0,1,14276.464566500876,0
26,26,Male,Pune,Homemaker,23.312292462306583,2,2,0,1,0,0,22859.220034375496,1
27,36,Male,Bengaluru,Business Owner,14.986142864815498,10,3,0,0,0,0,16717.91116114143,1
28,58,Male,Mumbai,Business Owner,8.934334249222875,5,5,0,0,0,0,7283.0487134436435,1
29,39,Male,Nagpur,IT Professional,18.452771863773172,2,1,0,0,0,1,21228.569501640603,1
30,41,Female,Bengaluru,Student,17.495839744646858,10,3,1,0,1,0,19329.991419211954,1
31,56,Female,Pune,IT Professional,24.760757020392134,6,4,1,0,1,1,28691.44500830789,1
32,42,Male,Bengaluru,IT Professional,8.831040323004233,10,4,0,0,0,1,11522.328532907964,1
33,30,Female,Mumbai,IT Professional,17.785309058558177,1,4,1,0,0,1,16008.817166438319,0
34,29,Female,Delhi,IT Professional,4.144522610647831,6,1,0,0,0,1,5708.125089636307,0
35,58,Male,Delhi,Homemaker,5.500212851327827,4,5,0,1,0,0,7888.477155339115,0
36,17,Female,Pune,Homemaker,3.0862042489240515,3,2,0,1,1,0,5000.0,0
37,51,Male,Pune,Student,24.988134983312808,2,5,0,0,0,0,24754.27004272457,1
38,21,Male,Delhi,IT Professional,20.65002133724451,7,1,0,0,1,1,24098.583192883398,1
39,35,Male,Pune,Homemaker,20.307906324137896,9,4,0,1,0,0,22387.38274244402,1
40,23,Male,Bengaluru,Student,14.213973656339954,3,5,0,0,0,0,18570.442085289338,0
41,53,Male,Nagpur,IT Professional,9.601475823919678,6,2,0,0,0,1,9156.400338732075,1
42,32,Male,Nagpur,Business Owner,6.32781425817887,9,4,0,0,1,0,10391.475893277211,1
43,18,Male,Bengaluru,Homemaker,9.2628442546222,2,2,0,1,1,0,12807.925519793202,0
44,39,Male,Nagpur,Student,11.271366882441061,7,3,0,0,0,0,12122.433754659836,1
45,28,Male,Mumbai,Business Owner,19.63882213356647,5,2,0,0,0,0,21919.57043259104,0
46,23,Male,Bengaluru,IT Professional,14.872559355869353,5,4,0,0,0,1,17638.27672120385,0
47,40,Male,Pune,IT Professional,4.704639784220619,7,3,0,0,1,1,6591.0988802155825,1
48,16,Male,Bengaluru,IT Professional,3.3966381970960695,9,4,0,0,0,1,7741.672648432298,1
49,34,Male,Delhi,Homemaker,5.251307949749389,4,4,0,1,0,0,8374.196871469292,0
50,42,Male,Pune,Student,12.030971701342345,9,3,0,0,0,0,15596.690304706563,1
51,21,Male,Delhi,Business Owner,23.5302441750784,10,2,0,0,0,0,30058.903403339173,1
52,58,Male,Pune,Student,17.022854586602875,9,1,0,0,1,0,22308.316467366858,1
53,22,Female,Nagpur,Homemaker,20.640169797261333,4,1,1,1,0,0,21474.369394954465,1
54,49,Male,Bengaluru,Student,13.260241079100068,3,1,0,0,0,0,17015.149813345168,0
55,28,Male,Mumbai,Homemaker,10.956653830290941,2,1,0,1,0,0,10474.779602924697,0
56,31,Other,Pune,IT Professional,5.3848081997657005,9,5,0,0,0,1,11596.594810576129,1
57,50,Female,Pune,Business Owner,22.270526488096507,2,1,1,0,0,0,21824.49509152437,0
58,54,Female,Delhi,IT Professional,20.229520638613863,6,3,1,0,1,1,22597.37392093039,1
59,18,Female,Nagpur,Student,6.698598147149952,5,1,0,0,0,0,8873.309567595665,0
60,16,Male,Delhi,IT Professional,14.26973240527773,5,4,0,0,0,1,17446.898587050455,1
61,20,Male,Delhi,Business Owner,13.722245774267387,4,1,0,0,0,0,10895.349433700434,0
62,56,Male,Nagpur,IT Professional,16.75201415910363,6,2,0,0,1,1,20668.045262083342,1
63,18,Male,Mumbai,Business Owner,23.816111667807746,5,3,0,0,0,0,26111.153221522927,1
64,43,Male,Delhi,Business Owner,15.754971718774552,4,3,0,0,1,0,18326.452041327735,0
65,32,Male,Delhi,IT Professional,14.88477986912961,9,5,0,0,1,1,20389.756516373815,1
66,40,Male,Pune,Homemaker,4.107104524562606,6,4,0,1,0,0,7894.722200545135,1
67,58,Female,Nagpur,Student,4.383964472396526,10,3,0,0,0,0,5369.24276787842,1
68,48,Female,Bengaluru,Homemaker,7.121629409189356,10,2,0,1,0,0,9999.608211613311,1
69,24,Male,Mumbai,Homemaker,3.714356977218462,10,1,0,1,0,0,9379.988845870588,1
70,50,Female,Mumbai,IT Professional,19.353763702540274,3,3,1,0,0,1,21253.15609579107,0
71,28,Male,Nagpur,Student,18.91326668786719,10,2,0,0,0,0,22334.159316834546,1
72,45,Female,Pune,Student,5.993237157496145,6,1,0,0,0,0,10468.515557615905,1
73,29,Male,Pune,Homemaker,21.39373581749618,1,5,0,1,1,0,21380.885479239016,0
74,22,Other,Nagpur,IT Professional,6.405292766614464,5,3,0,0,0,1,10676.745474378175,0
75,28,Male,Pune,Student,9.625862913941894,10,3,0,0,0,0,17045.90553683338,1
76,37,Male,Mumbai,Homemaker,8.47749178155003,6,2,0,1,0,0,12034.095884676384,0
77,54,Male,Mumbai,Student,11.19075616860705,8,4,0,0,0,0,16301.861132272164,1
78,35,Male,Bengaluru,IT Professional,8.60260284957916,9,5,0,0,1,1,11885.682686714637,1
79,30,Male,Nagpur,IT Professional,13.756920381645946,3,4,0,0,0,1,17041.340127265918,1
80,59,Male,Delhi,IT Professional,11.962973389803079,2,3,0,0,1,1,13399.222129165086,0
81,32,Male,Delhi,Student,24.704528797145183,4,4,0,0,0,0,26115.10671945682,1
82,38,Male,Bengaluru,Business Owner,4.230379702820965,8,1,0,0,1,0,5792.743036385653,1
83,40,Male,Bengaluru,Student,6.127990280521736,8,5,0,0,0,0,9157.107542313535,1
84,39,Female,Pune,Business Owner,4.162169665989254,3,4,0,0,0,0,5000.0,0
85,59,Male,Bengaluru,IT Professional,16.76850628961227,4,1,0,0,0,1,20291.48576749099,0
86,55,Male,Bengaluru,Homemaker,4.199204103101831,3,2,0,1,0,0,8140.063922279561,0
87,43,Male,Delhi,Business Owner,21.401674222274714,10,4,0,0,0,0,28234.212620134454,1
88,29,Female,Pune,IT Professional,14.262649875002412,2,5,1,0,0,1,20234.690367557756,0
89,59,Male,Bengaluru,IT Professional,14.594167740793742,4,1,0,0,0,1,15673.353897799796,0
90,15,Other,Bengaluru,Business Owner,15.355079169668272,6,4,0,0,0,0,19548.223859435373,1
91,39,Female,Pune,Homemaker,6.757901538736636,5,2,0,1,0,0,6895.191609570946,0
92,21,Male,Nagpur,IT Professional,7.349186668518726,3,4,0,0,1,1,8454.685387814126,0
93,23,Male,Pune,Business Owner,10.013981103206103,2,1,0,0,0,0,8059.282685496349,0
94,38,Female,Delhi,Homemaker,16.056921148080733,9,4,1,1,1,0,21693.30978269031,1
95,15,Female,Nagpur,Homemaker,7.622591070684719,1,5,0,1,0,0,7411.6077448563165,0
96,58,Male,Mumbai,IT Professional,5.559297996931747,9,3,0,0,0,1,5950.133947207911,1
97,22,Male,Pune,Student,24.34257150120551,1,1,0,0,0,0,23472.53461533538,0
98,38,Female,Delhi,Student,3.483599925811704,7,1,0,0,0,0,10569.828581026697,0
99,25,Male,Nagpur,IT Professional,20.659342917392475,6,1,0,0,0,1,24480.20269189428,0
100,31,Female,Pune,Homemaker,20.336773290650484,7,1,1,1,1,0,25374.95861656198,1
101,22,Male,Bengaluru,IT Professional,9.538710504592112,3,4,0,0,0,1,11289.801063191639,0
102,49,Male,Pune,Business Owner,5.983785552160895,3,5,0,0,1,0,7120.667708970431,1
103,49,Female,Mumbai,Student,6.203830227519315,1,2,0,0,0,0,6734.988255138418,0
104,47,Male,Pune,Business Owner,18.343495579218235,4,5,0,0,1,0,20834.361027665804,1
105,19,Male,Nagpur,IT Professional,17.14174500389582,2,1,0,0,0,1,15948.440112693788,0
106,56,Male,Nagpur,IT Professional,20.22040483353051,10,4,0,0,0,1,26746.528865007618,1
107,53,Male,Pune,Homemaker,23.6245857927803,8,4,0,1,1,0,29868.240776755265,1
108,55,Male,Nagpur,Homemaker,18.222401991865024,3,1,0,1,0,0,19329.22319797636,0
109,42,Male,Bengaluru,Homemaker,6.428733804131756,7,4,0,1,0,0,8882.652944898584,1
110,21,Male,Pune,Business Owner,8.355737568839036,7,1,0,0,0,0,10371.919569549429,0
111,23,Female,Bengaluru,Homemaker,21.52826207920852,9,5,1,1,0,0,29546.69528633338,1
112,22,Male,Bengaluru,IT Professional,7.604733668352589,6,3,0,0,1,1,9700.191989965477,1
